,vertex id,x,y
164,164,4.2982820752,2.4816126189
165,165,5.3728504574,17.3712905755
166,166,4.8355660835,17.0610892977
167,167,4.8355660835,16.44068563
168,168,6.984704839,0.3102016077
169,169,7.5219899151,0.620403291
170,170,8.0592751525,0.3102015146
171,171,5.9101350859,17.0610891506
172,172,8.5965606161,17.3712908855
173,173,9.6711326255,17.9916935101
174,174,6.984704839,15.1998793533
175,175,7.5219899151,15.5100810367
176,176,5.9101350859,13.3386697142
177,177,5.9101350859,14.5794760589
178,178,11.282994811,3.4122188768
179,179,2.13812e-05,6.2040471939
180,180,2.13812e-05,6.8244208336
181,181,2.13812e-05,8.0652569121
182,182,11.8202823793,6.2040328557
183,183,12.3575728019,5.8938282994
184,184,0.5372974738,13.33866857
185,185,0.5372974738,12.7182674849
186,186,2.1491518421,10.5468565235
187,187,0.5372974738,11.4774588518
188,188,0.5372974738,10.8570577667
189,189,1.6118679284,10.8570573218
190,190,1.07459248,10.5468594567
191,191,3.2237156135,13.6488705622
192,192,4.2982820752,9.9264514917
193,193,3.2237156135,9.9264511258
194,194,3.2237156135,8.6856460563
195,195,3.7609985274,8.9958464913
196,196,3.7609985274,9.6162506908
197,197,4.8355660835,12.7182661936
198,198,4.2982820752,12.4080651268
199,199,3.7609985274,12.7182659277
200,200,3.7609985274,13.3386701272
201,201,3.2237156135,10.5468557745
202,202,3.2237156135,11.787660844
203,203,2.6864330612,11.4774606191
204,204,2.6864330612,10.8570559994
205,205,5.3728504574,11.7876614209
206,206,6.4474198939,12.4080648121
207,207,5.9101350859,12.7182663407
208,208,5.3728504574,12.4080649158
209,209,4.2982820752,11.7876612099
210,210,4.8355660835,11.4774601431
211,211,3.7609985273,11.477460409
212,212,3.7609985273,10.8570562096
213,213,4.2982820752,10.5468554086
214,214,4.8355660835,10.8570564754
215,215,11.8202823793,6.8244351718
216,216,12.3575728019,7.1346397281
217,217,12.3575728019,7.7550380176
218,218,11.2829948111,7.1346383132
219,219,11.2829948111,7.7550394325
220,220,11.8202823793,8.0652425739
221,221,10.7457067236,6.2040331348
222,222,11.282994811,5.8938297143
223,223,8.5965606161,6.2040325762
224,224,9.6711326255,6.8244352009
225,225,6.984704839,14.579476138
226,226,6.984704839,13.3386696351
227,227,6.4474198939,13.6488712428
228,228,6.4474198939,14.2692745303
229,229,7.5219899151,8.6856453
230,230,5.3728504574,10.5468551976
231,231,1.07459248,8.0652377254
232,232,0.5372974738,7.7550394154
233,233,2.6864330612,7.7550411827
234,234,2.6864330612,7.134636563
235,235,1.6118679284,7.7550398602
236,236,2.1491518421,8.0652406585
237,237,4.2982820752,6.2040320553
238,238,4.8355660835,5.8938309885
